antecedents,consequents,support,confidence,lift,leverage,conviction
"BAKED BREAD/BUNS/ROLLS, FLUID MILK PRODUCTS",CHEESE,0.073508,0.49146,2.187723,0.039908,1.524669
LUNCHMEAT,CHEESE,0.055152,0.488431,2.174239,0.029786,1.515642
"CHEESE, FLUID MILK PRODUCTS",BAKED BREAD/BUNS/ROLLS,0.073508,0.619975,2.155355,0.039403,1.874497
EGGS,CHEESE,0.06455,0.483312,2.151454,0.034547,1.500627
BEEF,"BAKED BREAD/BUNS/ROLLS, FLUID MILK PRODUCTS",0.055857,0.318833,2.131647,0.029653,1.248488
"BAKED BREAD/BUNS/ROLLS, FLUID MILK PRODUCTS",BEEF,0.055857,0.373446,2.131647,0.029653,1.316421
VEGETABLES - SHELF STABLE,CHEESE,0.05195,0.478706,2.130949,0.027571,1.487367
"FLUID MILK PRODUCTS, TROPICAL FRUIT",BAKED BREAD/BUNS/ROLLS,0.052747,0.610816,2.123514,0.027907,1.830383
"CHEESE, SOFT DRINKS",BAKED BREAD/BUNS/ROLLS,0.055205,0.606644,2.109011,0.029029,1.810972
"EGGS, FLUID MILK PRODUCTS",BAKED BREAD/BUNS/ROLLS,0.050366,0.60444,2.101346,0.026397,1.800878
"BAKED BREAD/BUNS/ROLLS, SOFT DRINKS",CHEESE,0.055205,0.467124,2.079394,0.028656,1.45504
COLD CEREAL,FLUID MILK PRODUCTS,0.081279,0.674225,2.07088,0.04203,2.070219
"BAKED BREAD/BUNS/ROLLS, TROPICAL FRUIT",FLUID MILK PRODUCTS,0.052747,0.671792,2.063408,0.027184,2.054876
SOUP,CHEESE,0.051298,0.456017,2.029949,0.026027,1.42533
LUNCHMEAT,BAKED BREAD/BUNS/ROLLS,0.065752,0.58231,2.024414,0.033273,1.705468
"BAKED BREAD/BUNS/ROLLS, CHEESE",FLUID MILK PRODUCTS,0.073508,0.636409,1.954729,0.035903,1.854904
CHEESE,BEEF,0.076517,0.340614,1.94424,0.037161,1.250874
BEEF,CHEESE,0.076517,0.436763,1.94424,0.037161,1.376605
"FLUID MILK PRODUCTS, SOFT DRINKS",BAKED BREAD/BUNS/ROLLS,0.068553,0.559034,1.943494,0.03328,1.615446
"FLUID MILK PRODUCTS, SOFT DRINKS",CHEESE,0.053408,0.435531,1.938757,0.025861,1.373601
COLD CEREAL,CHEESE,0.052409,0.434741,1.93524,0.025327,1.371681
"BAKED BREAD/BUNS/ROLLS, FLUID MILK PRODUCTS",BAG SNACKS,0.057064,0.381518,1.916941,0.027296,1.295067
EGGS,FLUID MILK PRODUCTS,0.083326,0.623902,1.916312,0.039844,1.793217
COLD CEREAL,BAKED BREAD/BUNS/ROLLS,0.065767,0.545549,1.896613,0.031091,1.56751
"BAKED BREAD/BUNS/ROLLS, BEEF",FLUID MILK PRODUCTS,0.055857,0.615245,1.889725,0.026299,1.752873
"BAG SNACKS, BAKED BREAD/BUNS/ROLLS",FLUID MILK PRODUCTS,0.057064,0.602519,1.850636,0.026229,1.69675
SOUP,BAKED BREAD/BUNS/ROLLS,0.059841,0.531962,1.849378,0.027484,1.522006
YOGURT,FLUID MILK PRODUCTS,0.050448,0.599759,1.842158,0.023063,1.685049
"BAG SNACKS, SOFT DRINKS",BAKED BREAD/BUNS/ROLLS,0.052486,0.529501,1.840819,0.023974,1.514042
EGGS,BAKED BREAD/BUNS/ROLLS,0.070702,0.52938,1.8404,0.032286,1.513654
VEGETABLES - SHELF STABLE,BAKED BREAD/BUNS/ROLLS,0.057354,0.528503,1.837353,0.026138,1.51084
CRACKERS/MISC BKD FD,BAKED BREAD/BUNS/ROLLS,0.056943,0.524301,1.822742,0.025703,1.497492
"CHEESE, SOFT DRINKS",FLUID MILK PRODUCTS,0.053408,0.586902,1.802669,0.023781,1.632606
BEEF,BAKED BREAD/BUNS/ROLLS,0.090788,0.518221,1.801607,0.040395,1.478596
BAKED BREAD/BUNS/ROLLS,BEEF,0.090788,0.315626,1.801607,0.040395,1.205202
BAKED BREAD/BUNS/ROLLS,CHEESE,0.115505,0.401555,1.787512,0.050887,1.295616
CHEESE,BAKED BREAD/BUNS/ROLLS,0.115505,0.514167,1.787512,0.050887,1.466257
REFRGRATD JUICES/DRNKS,FLUID MILK PRODUCTS,0.071243,0.581451,1.785926,0.031352,1.611344
CHEESE,BAG SNACKS,0.079816,0.355297,1.785193,0.035106,1.242395
BAG SNACKS,CHEESE,0.079816,0.401034,1.785193,0.035106,1.294489
"BAKED BREAD/BUNS/ROLLS, SOFT DRINKS",FLUID MILK PRODUCTS,0.068553,0.580074,1.781697,0.030077,1.60606
TROPICAL FRUIT,BAKED BREAD/BUNS/ROLLS,0.078516,0.503468,1.750318,0.033658,1.434664
"BAG SNACKS, BAKED BREAD/BUNS/ROLLS",SOFT DRINKS,0.052486,0.554179,1.729246,0.022134,1.524211
TROPICAL FRUIT,FLUID MILK PRODUCTS,0.086355,0.553728,1.700776,0.035581,1.511246
CANNED JUICES,FLUID MILK PRODUCTS,0.052819,0.551343,1.69345,0.021629,1.503212
TROPICAL FRUIT,CHEESE,0.059078,0.378824,1.686329,0.024045,1.248207
FROZEN PIZZA,BAKED BREAD/BUNS/ROLLS,0.052544,0.48418,1.68326,0.021328,1.381016
REFRGRATD JUICES/DRNKS,BAKED BREAD/BUNS/ROLLS,0.058706,0.47913,1.665704,0.023462,1.367627
BAKED BREAD/BUNS/ROLLS,BAG SNACKS,0.094709,0.329259,1.654365,0.037461,1.194165
BAG SNACKS,BAKED BREAD/BUNS/ROLLS,0.094709,0.475868,1.654365,0.037461,1.359116
MILK BY-PRODUCTS,FLUID MILK PRODUCTS,0.050834,0.537425,1.650699,0.020039,1.457981
CRACKERS/MISC BKD FD,FLUID MILK PRODUCTS,0.058175,0.53564,1.645216,0.022815,1.452376
SOUP,FLUID MILK PRODUCTS,0.060112,0.534367,1.641305,0.023487,1.448405
VEGETABLES - SHELF STABLE,FLUID MILK PRODUCTS,0.057871,0.533265,1.637922,0.022539,1.444987
FRZN MEAT/MEAT DINNERS,BAKED BREAD/BUNS/ROLLS,0.050013,0.467476,1.62519,0.019239,1.337698
CHEESE,FLUID MILK PRODUCTS,0.118567,0.527797,1.621127,0.045428,1.428254
FLUID MILK PRODUCTS,CHEESE,0.118567,0.364177,1.621127,0.045428,1.219452
BEEF,BAG SNACKS,0.056374,0.321783,1.616801,0.021506,1.181002
BAKED BREAD/BUNS/ROLLS,FLUID MILK PRODUCTS,0.149571,0.519988,1.597142,0.055922,1.405019
FLUID MILK PRODUCTS,BAKED BREAD/BUNS/ROLLS,0.149571,0.459408,1.597142,0.055922,1.317734
LUNCHMEAT,FLUID MILK PRODUCTS,0.058532,0.51837,1.592171,0.02177,1.400298
FROZEN PIZZA,FLUID MILK PRODUCTS,0.055466,0.511103,1.569852,0.020134,1.379485
SOFT DRINKS,BAG SNACKS,0.099123,0.309302,1.554093,0.035341,1.159662
BAG SNACKS,SOFT DRINKS,0.099123,0.498047,1.554093,0.035341,1.353763
BEEF,FLUID MILK PRODUCTS,0.086041,0.491124,1.508485,0.029003,1.325324
FRZN MEAT/MEAT DINNERS,FLUID MILK PRODUCTS,0.05238,0.489595,1.50379,0.017548,1.321355
FROZEN PIZZA,SOFT DRINKS,0.052017,0.479329,1.495686,0.017239,1.305096
"BAKED BREAD/BUNS/ROLLS, CHEESE",SOFT DRINKS,0.055205,0.477945,1.491367,0.018189,1.301635
"BAKED BREAD/BUNS/ROLLS, FLUID MILK PRODUCTS",SOFT DRINKS,0.068553,0.458332,1.430168,0.02062,1.254506
"CHEESE, FLUID MILK PRODUCTS",SOFT DRINKS,0.053408,0.45045,1.405573,0.015411,1.236513
BAG SNACKS,FLUID MILK PRODUCTS,0.088446,0.444396,1.364961,0.023648,1.213861
COLD CEREAL,SOFT DRINKS,0.050366,0.417795,1.303677,0.011732,1.167159
BEEF,SOFT DRINKS,0.072127,0.411705,1.284673,0.015983,1.155076
BAKED BREAD/BUNS/ROLLS,SOFT DRINKS,0.11818,0.410856,1.282025,0.025998,1.153412
SOFT DRINKS,BAKED BREAD/BUNS/ROLLS,0.11818,0.368767,1.282025,0.025998,1.128515
CHEESE,SOFT DRINKS,0.091,0.405086,1.264022,0.019008,1.142226
EGGS,SOFT DRINKS,0.051076,0.382426,1.193314,0.008274,1.100315
FLUID MILK PRODUCTS,SOFT DRINKS,0.122628,0.376652,1.175296,0.01829,1.090123
SOFT DRINKS,FLUID MILK PRODUCTS,0.122628,0.382646,1.175296,0.01829,1.092446
TROPICAL FRUIT,SOFT DRINKS,0.056407,0.361699,1.128638,0.006429,1.064586
